s_no,registration_no,certificate_s_no,category_of_variety,denomination_of_the_candidate_variety,crop,crop_group,name_of_applicant,applicant_category,date_of_filling,application_no,date_of_certificate_issue,maximum_protection_period_up_to,provisional_protection_claim
1384,572 of 2014,1422,Farmer,HANDA,Rice,Cereals,"Ananda Ch. Swain and others, At- Kadobahal, Block- Naktideul, Dist- Sambalpur, State-Odisha",Farmer,6-Sep-2011,F220 OS236 11 550,20 August 2014,19 August 2029,06-Sep-2011  to 20-Aug-2014
1385,573 of 2014,1423,Farmer,GUDUBA,Rice,Cereals,"Samiya Sabara and others, At- Patili, Block- Gunupur, Dist- Raigada, State-Odisha",Farmer,9-Sep-2011,F306 OS322 11 636,20 August 2014,19 August 2029,09-Sep-2011  to 20-Aug-2014
1386,574 of 2014,1424,Farmer,BUBAILACHHA,Rice,Cereals,"Biswamitra Barik and others, At- Kudahansa, Block- Jamda, Dist- Mayurbhanja, State-Odisha",Farmer,12-Sep-2011,F335 OS352 11 666,20 August 2014,19 August 2029,12-Sep-2011  to 20-Aug-2014
1387,575 of 2014,1425,Farmer,BELAMANJI,Rice,Cereals,"Basanta Pradhan, At- Dangapal, Block- Jujumura, Dist- Sambalpur, State-Odisha",Farmer,5-Sep-2011,F207 OS223 11 537,20 August 2014,19 August 2029,05-Sep-2011  to 20-Aug-2014
1388,576 of 2014,1426,Farmer,KANDRAJHALI,Rice,Cereals,"Nabin Kalo and others, At- Ladangpali, Block- Jamankira, Dist- Sambalpur, State-Odisha",Farmer,14-Sep-2011,F426 OS443 11 757,20 August 2014,19 August 2029,14-Sep-2011  to 20-Aug-2014
1389,577 of 2014,1427,Farmer,KHANDA SAGAR,Rice,Cereals,"Buddhadev Nayak and others, At- Ghantmal, Block- Rangali, Dist- Sambalpur, State-Odisha",Farmer,14-Sep-2011,F433 OS450 11 764,20 August 2014,19 August 2029,14-Sep-2011  to 20-Aug-2014
1390,578 of 2014,1428,Farmer,Smb-SAPRI,Rice,Cereals,"Tikeswar Naik and others, At- Nuagan, Block- Jamankira, Dist- Sambalpur, State-Odisha",Farmer,14-Sep-2011,F434 OS451 11 765,20 August 2014,19 August 2029,14-Sep-2011  to 20-Aug-2014
1391,579 of 2014,1429,Farmer,Smb-JAIPHULA,Rice,Cereals,"Surendra Dhurua and others, At- Sihiria, Block- Jamankira, Dist- Sambalpur, State-Odisha",Farmer,14-Sep-2011,F429 OS446 11 760,20 August 2014,19 August 2029,14-Sep-2011  to 20-Aug-2014
1392,580 of 2014,1430,Extant,US312 (IET-19513),Rice,Cereals,Seed Works International Pvt. Ltd.,Private,15-Mar-2012,E5 OS 6 12 49,20 August 2014,30 August 2025,15-Mar-2012  to 20-Aug-2014
1393,581 of 2014,1431,Extant,TPG-41,Groundnut,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,29-Jul-2013,E19 AH19 13 379,20 August 2014,03 February 2019,29-Jul-2013  to 20-Aug-2014
1394,582 of 2014,1432,Extant,TG-38 (TG-38B),Groundnut,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,29-Jul-2013,E18 AH18 13 378,20 August 2014,19 September 2021,29-Jul-2013  to 20-Aug-2014
1395,583 of 2014,1433,Extant (VCK),296A,Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jan-2008,E51 SB13 08 59,20 August 2014,19 August 2029,03-Jan-2008  to 20-Aug-2014
1396,584 of 2014,1434,New,KSFH-9004,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,21-Sep-2010,N22 HA37 10 290,20 August 2014,19 August 2029,21-Sep-2010  to 20-Aug-2014
1397,585 of 2014,1435,Extant,AKAW-4627,Wheat,Cereals,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,7-Nov-2013,E9 TA10 13 754,20 August 2014,19 August 2029,07-Nov-2013  to 20-Aug-2014
1398,586 of 2014,1436,Extant,Rajendra Bhagwati,Rice,Cereals,"Rajasthan Agriculture University, Bikaner",Public,7-Oct-2013,E4 OS 104 13 539,21 August 2014,20 August 2029,07-Oct-2013  to 20-Aug-2014
1399,587 of 2014,1437,New,KSF-282A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,21-Sep-2010,N23 HA38 10 291,21 August 2014,20 August 2029,21-Sep-2010  to 20-Aug-2014
1400,588 of 2014,1438,Extant (VCK),NS 203R,Sorghum,Cereals,Nuziveedu Seeds Limited,Private,3-Nov-2009,E33 SB57 09 477,21 August 2014,20 August 2029,03-Nov-2009  to 21-Aug-2014
1401,589 of 2014,1439,Extant,NARI-6,Safflower,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,29-Oct-2012,E2 CT2 12 565,21 August 2014,01 February 2016,29-Oct-2012  to 21-Aug-2014
1402,590 of 2014,1440,Extant (VCK),CRMS32A,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,22-Mar-2010,E03 OS 05 10 96,28 August 2014,27 August 2029,22-Mar-2010  to 28-Aug-2014
1403,591 of 2014,1441,Extant,GG-6,Groundnut,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,29-Apr-2013,E2 AH2 13 279,29 August 2014,11 March 2018,29-Apr-2013  to 29-Aug-2014
1404,592 of 2014,1442,New,KSF-117A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,21-Sep-2010,N25 HA40 10 293,29 August 2014,28 August 2029,21-Sep-2010  to 29-Aug-2014
1405,593 of 2014,1443,New,KSF-003R,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,20-Sep-2010,N15 HA30 10 283,29 August 2014,28 August 2029,20-Sep-2010  to 29-Aug-2014
1406,594 of 2014,1444,New,KSF-292 A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,11-Oct-2010,N38 HA53 10 317,02 September 2014,01 September 2029,11-Oct-2010  to 02-Sep-2014
1407,595 of 2014,1445,New,KSF-004 R,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,20-Sep-2010,N7 HA22 10 275,02 September 2014,01 September 2029,20-Sep-2010  to 02-Sep-2014
1408,596 of 2014,1446,Extant,RAJDH-9,Diploid Cotton,Fibre Crops,"Rajasthan Agriculture University, Bikaner",Public,22-Dec-2009,E22 GA25 09 684,02 September 2014,25 April 2021,22-Dec-2009  to 02-Sep-2014
1409,597 of 2014,1447,New,KSF-290 A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,11-Oct-2010,N37 HA52 10 316,02 September 2014,01 September 2029,11-Oct-2010  to 02-Sep-2014
1410,598 of 2014,1448,New,KSF-149 A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,20-Sep-2010,N18 HA33 10 286,02 September 2014,01 September 2029,20-Sep-2010  to 02-Sep-2014
1411,599 of 2014,1449,Farmer,RAGHUSAIN,Rice,Cereals,"Prahllad Patra and others, At- Mundagam, Block- Kasipur, Dist- Raigada, State-Odisha",Farmer,9-Sep-2011,F296 OS312 11 626,03 September 2014,02 September 2029,09-Sep-2011  to 03-Sep-2014
1412,600 of 2014,1450,Farmer,MALLIFULJHULI,Rice,Cereals,"Bibhuti Pradhan and others, At- Pardesara, Block- Agalpur, Dist- Balangir, State-Odisha",Farmer,26-Sep-2011,F831 OS851 11 1168,03 September 2014,02 September 2029,26-Sep-2011  to 03-Sep-2014
1413,601 of 2014,1451,Farmer,KHAJURIKANDHI,Rice,Cereals,"Gajendranath Soren and others, At- Jhaliamara, Block- Suliapada, Dist- Mayurbhanja, State-Odisha",Farmer,13-Sep-2011,F370 OS387 11 701,03 September 2014,02 September 2029,13-Sep-2011  to 03-Sep-2014
1414,602 of 2014,1452,Farmer,TULASIMALI,Rice,Cereals,"Sahadev Miniaka and others, At- Paika ranipinda, Block- Muniguda, Dist- Raigada, State-Odisha",Farmer,9-Sep-2011,F302 OS318 11 632,03 September 2014,02 September 2029,09-Sep-2011  to 03-Sep-2014
1415,603 of 2014,1453,Farmer,BIRADIA BANKOI,Rice,Cereals,"Laxmidhar Tarai and others, At- Kuapada, Block- Brahmagiri, Dist- Puri, State-Odisha",Farmer,2-Sep-2011,F302 OS318 11 515,03 September 2014,02 September 2029,02-Sep-2011  to 03-Sep-2014
1416,604 of 2014,1454,Farmer,DUBARAJ-S,Rice,Cereals,"Dillip Kumar Patel and others, At- Laida, Block- Rengli, Dist- Sambalpur, State-Odisha",Farmer,19-Sep-2011,F574 OS591 11 905,03 September 2014,02 September 2029,19-Sep-2011  to 03-Sep-2014
1417,605 of 2014,1455,Farmer,KERASAL,Rice,Cereals,"Nabin Khadia and others, At- Niktimal, Block- Bamara, Dist- Sambalpur, State-Odisha",Farmer,14-Sep-2011,F419 OS436 11 750,03 September 2014,02 September 2029,14-Sep-2011  to 03-Sep-2014
1418,606 of 2014,1456,Farmer,GANJEIKALI,Rice,Cereals,"Nand Kishore Pradhan and others, At- Barkote, Block- Barkote, Dist- Deoghar, State-Odisha",Farmer,7-Sep-2011,F237 OS531 11 567,03 September 2014,02 September 2029,07-Sep-2011  to 03-Sep-2014
1419,607 of 2014,1457,Farmer,DHALA SHREE-B,Rice,Cereals,"Bhima Udurkulia, At- Mirdhapali, Block- Balangir, Dist- Balangir, State-Odisha",Farmer,27-Sep-2011,F837 OS857 11 1174,03 September 2014,02 September 2029,27-Sep-2011  to 03-Sep-2014
1420,608 of 2014,1458,Farmer,JHALKAKERI,Rice,Cereals,"Ananda Ch. Swain and others, At- Kadobahal, Block- Naktideul, Dist- Sambalpur, State-Odisha",Farmer,6-Sep-2011,F219 OS235 11 549,03 September 2014,02 September 2029,06-Sep-2011  to 03-Sep-2014
1421,609 of 2014,1459,Farmer,JABAFULA,Rice,Cereals,"Ashok Pradhan, At- Kusuli, Block- Jamankira, Dist- Sambalpur, State-Odisha",Farmer,14-Sep-2011,F430 OS447 11 761,03 September 2014,02 September 2029,14-Sep-2011  to 03-Sep-2014
1422,610 of 2014,1460,New,KSF-133 A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,4-Oct-2010,N30 HA45 10 306,05 September 2014,04 September 2029,04-Oct-2010  to 05-Sep-2014
1423,611 of 2014,1461,New,KSF-141 A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,21-Sep-2010,N20 HA3510 288,05 September 2014,04 September 2029,21-Sep-2010  to 05-Sep-2014
1424,612 of 2014,1462,New,CR DHAN 10,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Apr-2010,N11 Os11 10 105,08 September 2014,07 September 2029,12-Apr-2010  to 08-Sep-2014
1425,613 of 2014,1463,Extant,L-604,Tetraploid Cotton,Fibre Crops,Acharya N.G. Ranga Agricultural University,Public,22-Dec-2009,E171 GH213 09 677,08 September 2014,12 September 2015,22-Dec-2009  to 08-Sep-2014
1426,614 of 2014,1464,New,KSF-145 A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,21-Sep-2010,N19 HA34 10 287,08 September 2014,07 September 2029,21-Sep-2010  to 08-Sep-2014
1427,615 of 2014,1465,New,KSMS 241,Sorghum,Cereals,M/S Kaveri Seed Company Limited,Private,3-Jun-2010,N15 SB15 10 148,10 September 2014,09 September 2029,03-Jun-2010  to 10-Sep-2014
1428,616 of 2014,1466,New,VBCH-1511 BG II,Tetraploid Cotton,Fibre Crops,Nusun Genetic Research Ltd.,Private,8-Jul-2009,N24 GH154 09 319,10 September 2014,09 September 2029,08-Jul-2009  to 10-Sep-2014
1429,617 of 2014,1467,New,KSF-119 A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,20-Sep-2010,N17 HA32 10 285,10 September 2014,09 September 2029,20-Sep-2010  to 10-Sep-2014
1430,618 of 2014,1468,New,VBCH 1017 (RACE BG),Tetraploid Cotton,Fibre Crops,Vibha Agrotech Limited,Private,4-Mar-2009,N7 GH12 09 67,10 September 2014,09 September 2029,04-Mar-2009  to 10-Sep-2014
1431,619 of 2014,1469,Extant,Vivek Matar-8,Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,28-May-2012,E1 PS1 12 170,10 September 2014,14 December 2016,28-May-2012  to 10-Sep-2014
1432,620 of 2014,1470,Extant,VL Tamatar-4,Tomato,Vegetables,Indian Council of Agricultural Research (ICAR),Public,28-May-2012,E7 LL2 12 173,15 September 2014,10 May 2025,28-May-2012  to 15-Sep-2014
1433,621 of 2014,1471,New,VBCH-1519 BG-II,Tetraploid Cotton,Fibre Crops,Vibha Agrotech Limited,Private,8-Jul-2009,N22 GH152 09 317,15 September 2014,14 September 2029,08-Jul-2009  to 15-Sep-2014
1434,622 of 2014,1472,Extant,Vivek Matar-9,Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,28-May-2012,E5 PS5 12 176,15 September 2014,10 May 2020,28-May-2012  to 15-Sep-2014
1435,623 of 2014,1473,New,NPH-23,Rice,Cereals,Nuziveedu Seeds Limited,Private,28-Jan-2009,N3 OS6 09 13,16 September 2014,15 September 2029,28-Jan-2009  to 16-Sep-2014
1436,624 of 2014,1474,New,VBCH 1008 BG (MIST BG),Tetraploid Cotton,Fibre Crops,Nusun Genetic Research Ltd.,Private,4-Mar-2009,N8 GH 13 09 68,16 September 2014,15 September 2029,04-Mar-2009  to 16-Sep-2014
1437,625 of 2014,1475,New,JKBH 768,Pearl millet,Cereals,JK Agri Genetics Ltd.,Private,7-Apr-2008,N104 PG 19 08 351,17 September 2014,16 September 2029,07-Apr-2008  to 17-Sep-2014
1438,626 of 2014,1476,New,KSF-270A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,20-Sep-2010,N12 HA27 10 280,17 September 2014,16 September 2029,20-Sep-2010  to 17-Sep-2014
1439,627 of 2014,1477,New,KDCHH-507 BG-I,Tetraploid Cotton,Fibre Crops,Krishidhan Seeds Private Limited,Private,26-Nov-2009,N33 GH195 09 542,18 September 2014,17 September 2029,26-Nov-2009  to 18-Sep-2014
1440,628 of 2014,1478,New,KSF-294A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,11-Oct-2010,N36 HA51 10 315,18 September 2014,17 September 2029,11-Oct-2010  to 18-Sep-2014
1441,629 of 2014,1479,New,KSF-016 R,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,20-Sep-2010,N16 HA31 10 284,18 September 2014,17 September 2029,20-Sep-2010  to 18-Sep-2014
1442,630 of 2014,1480,Extant,VL Bean-2,Kidney bean,Legumes,Indian Council of Agricultural Research (ICAR),Public,28-May-2012,E1 PV1 12 172,18 September 2014,25 December 2023,28-May-2012  to 18-Sep-2014
1443,631 of 2014,1481,Extant (VCK),SYN-SF-207,Sunflower,Oilseeds,Syngenta India Limited,Private,3-Aug-2010,E10 HA13 10 229,18 September 2014,17 September 2029,03-Aug-2010  to 18-Sep-2014
1444,632 of 2014,1482,New,KSF-101 R,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,20-Sep-2010,N6 HA 21 10 274,18 September 2014,17 September 2029,20-Sep-2010  to 18-Sep-2014
1445,633 of 2014,1483,Extant,Vivek Matar 11 (VP 233),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,28-May-2012,E2 PS2 12 171,18 September 2014,11 August 2025,28-May-2012  to 18-Sep-2014
1446,634 of 2014,1484,New,Vaishnavi (NR-241),Rice,Cereals,Nirmal Seeds Private Ltd.,Private,22-Sep-2009,N28 Os48 09 384,18 September 2014,17 September 2029,22-Sep-2009  to 18-Sep-2014
1447,635 of 2014,1485,Extant,PKV Makaraud,Rice,Cereals,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,7-Jan-2009,E2 OS2 09 7,18 September 2014,01 February 2020,07-Jan-2009  to 18-Sep-2014
1448,636 of 2014,1486,Farmer,HARIBHOGA,Rice,Cereals,"Biracnhi Nayak and others, At- Bhairpur, Block- Kamakhyanagar, Dist- Dhenkanal, State-Odisha",Farmer,20-Sep-2011,F604 OS623 11 938,23 September 2014,22 September 2029,20-Sep-2011  to 23-Sep-2014
1449,637 of 2014,1487,Farmer,K-THAKURABHOG,Rice,Cereals,"Ghasiram Naik, Luhagaon, Block- Dharamgarh, Dist- Kalahandi, State-Odisha",Farmer,16-Sep-2011,F509 OS526 11 840,23 September 2014,22 September 2029,16-Sep-2011  to 23-Sep-2014
1450,638 of 2014,1488,New,KSR 6194,Sorghum,Cereals,M/S Kaveri Seed Company Limited,Private,3-Jun-2010,N17 SB17 10 150,25 September 2014,24 September 2029,03-Jun-2010  to 25-Sep-2014
1451,639 of 2014,1489,New,463 A,Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,25-Nov-2009,N26 SB59 09 540,25 September 2014,24 September 2029,25-Nov-2009  to 25-Sep-2014
1452,640 of 2014,1490,New,HJ 513,Sorghum,Cereals,CCS Haryana Agricultural University,Public,11-Sep-2008,N123 SB43 08 447,25 September 2014,24 September 2029,11-Sep-2008  to 25-Sep-2014
1453,641 of 2014,1491,New,Sourav (CO-58),Jute,Fibre Crops,Indian Council of Agricultural Research (ICAR),Public,18-Oct-2010,N1 J01 10 318,25 September 2014,24 September 2029,18-Oct-2010  to 25-Sep-2014
1454,642 of 2014,1492,Extant,CSH-19R (SPH 1010R),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jan-2008,E50 SB12 08 58,01 October 2014,12 September 2015,03-Jan-2008  to 01-Oct-2014
1455,643 of 2014,1493,New,HD 2987 (Pusa Bahar),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jun-2011,N4 TA4 11 256,09 October 2014,08 October 2029,01-Jun-2011  to 09-Oct-2014
1456,644 of 2014,1494,Extant,SML-832,Green Gram,Legumes,Punjab Agricultural University,Public,8-Jan-2014,E1 VR1 14 66,09 October 2014,08 October 2029,08-Jan-2014  to 09-Oct-2014
1457,645 of 2014,1495,Extant,DU-1,Black Gram,Legumes,University of Agricultural sciences,Public,24-Feb-2014,E2 VM4 14 423,14 October 2014,31 March 2028,24-Feb-2014  to 14-Oct-2014
1458,646 of 2014,1496,Extant,Mash 479 (KUG 479),Black Gram,Legumes,Punjab Agricultural University,Public,22-Jan-2014,E1 VM1 14 176,14 October 2014,24 March 2026,22-Jan-2014  to 14-Oct-2014
1459,647 of 2014,1497,New,HD 2967,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jun-2011,N5 TA5 11 257,14 October 2014,13 October 2029,01-Jun-2011  to 14-Oct-2014
1460,648 of 2014,1498,New,KSF-116B,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,21-Sep-2010,N27HA4210 295,14 October 2014,13 October 2029,21-Sep-2010  to 14-Oct-2014
1461,649 of 2014,1499,New,KSF-279A,Sunflower,Oilseeds,M/S Kaveri Seed Company Limited,Private,20-Sep-2010,N14HA2910282,14 October 2014,13 October 2029,20-Sep-2010  to 14-Oct-2014
1462,650 of 2014,1500,Extant,SWARNA VIJAYA,Tomato,Vegetables,Indian Council of Agricultural Research (ICAR),Public,3-Dec-2013,E65LL103 13 1094,14 October 2014,17 July 2023,03-Dec-2013  to 14-Oct-2014
1463,651 of 2014,1501,Extant,IPL-406,Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E398 LC3 08 21,15 October 2014,19 July 2022,02-Jan-2008  to 15-Oct-2014
1464,652 of 2014,1502,Extant (VCK),IMS 9 B,Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jan-2008,E58 SB21 08 67,15 October 2014,14 October 2029,03-Jan-2008  to 15-Oct-2014
1465,653 of 2014,1503,Extant (VCK),RS 29,Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jan-2008,E48 SB10 08 56,15 October 2014,14 October 2029,03-Jan-2008  to 15-Oct-2014
1466,654 of 2014,1504,New,KRL 213,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,17-Jan-2011,N1 TA1 11 84,15 October 2014,14 October 2029,17-Jan-2011  to 15-Oct-2014
1467,655 of 2014,1505,New,HD 2985 (Pusa Basant),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jun-2011,N3 TA3 11 255,15 October 2014,14 October 2029,01-Jun-2011  to 15-Oct-2014
1468,656 of 2014,1506,Extant,ADT (R ) 47,Rice,Cereals,Tamil Nadu Agricultural University,Public,26-Mar-2009,E9 OS16 09 111,15 October 2014,19 July 2022,26-Mar-2009  to 15-Oct-2014
1469,657 of 2014,1507,Extant,ADT (R ) 46,Rice,Cereals,Tamil Nadu Agricultural University,Public,26-Mar-2009,E10 OS 17 09 112,15 October 2014,24 August 2020,26-Mar-2009  to 15-Oct-2014
1470,658 of 2014,1508,Extant,NRCYS-05-02,Rapeseed (Toria),Oilseeds,Indian Council of Agricultural Research (ICAR),Public,6-Jun-2014,E1 BR5 14 1259,07 November 2014,10 February 2024,06-Jun-2014  to 07-Nov-2014
1471,659 of 2014,1509,Extant,PKV Moong 8802,Green Gram,Legumes,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,25-Feb-2009,E1 VR1 09 62,07 November 2014,01 February 2016,25-Feb-2009  to 07-Nov-2014
1472,660 of 2014,1510,Extant,RRN-505 (RN-505),Indian mustard (Sarso),Oilseeds,Indian Council of Agricultural Research (ICAR),Public,5-Dec-2012,E17 BJ 18 12 647,07 November 2014,24 April 2021,05-Dec-2012  to 07-Nov-2014
1473,661 of 2014,1511,Extant,Prutha (Dh-86),Groundnut,Oilseeds,"University of Agricultural sciences, Dharwad",Public,24-Feb-2014,E3 AH3 14 427,07 November 2014,01 February 2020,24-Feb-2014  to 07-Nov-2014
1474,662 of 2014,1512,Extant,MACS-3125,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,18-Nov-2013,E1 TD1 13 791,07 November 2014,11 March 2018,18-Nov-2013  to 07-Nov-2014
1475,663 of 2014,1513,Extant,Vasundhara (DH-101),Groundnut,Oilseeds,"University of Agricultural sciences, Dharwad",Public,24-Feb-2014,E4 AH4 14 428,07 November 2014,05 February 2022,24-Feb-2014  to 07-Nov-2014
1476,664 of 2014,1514,Extant,TGLPS-3 (TDG-39),Groundnut,Oilseeds,"University of Agricultural sciences, Dharwad",Public,24-Feb-2014,E5 AH5 14 429,10 November 2014,10 February 2024,24-Feb-2014  to 10-Nov-2014
1477,665 of 2014,1515,New,BCT 3701,Tetraploid Cotton,Fibre Crops,Bayer Biosciences Pvt. Ltd.,Private,5-Jun-2008,N108 GH120 08 376,11 November 2014,10 November 2029,05-Jun-2008  to 11-Nov-2014
1478,666 of 2014,1516,Extant,BGD-103,Chickpea,Legumes,"University of Agricultural sciences, Dharwad",Public,24-Feb-2014,E1 CA1 14 424,11 November 2014,26 August 2024,24-Feb-2014  to 11-Nov-2014
1479,667 of 2014,1517,Extant,GPBD5,Groundnut,Oilseeds,"University of Agricultural sciences, Dharwad",Public,24-Feb-2014,E2 AH2 14 426,12 November 2014,30 August 2025,24-Feb-2014  to 12-Nov-2014
1480,668 of 2014,1518,New,NMH-713,Maize,Cereals,Nuziveedu Seeds Limited,Private,13-Apr-2009,N5 ZM18 09 149,12 November 2014,11 November 2029,13-Apr-2009  to 12-Nov-2014
1481,669 of 2014,1519,Extant,GPBD-4 (Vikas),Groundnut,Oilseeds,"University of Agricultural sciences, Dharwad",Public,24-Feb-2014,E1 AH1 14 425,12 November 2014,30 May 2019,24-Feb-2014  to 12-Nov-2014
1482,670 of 2014,1520,Extant,Vallabh Basmati-21 (IET 19493) (MAUB-21),Rice,Cereals,Sardar Vallabhbhai Patel University of Agri. And Technology.,Public,12-Jun-2014,E9 OS807 14 1271,12 November 2014,18 September 2028,12-Jun-2014  to 12-Nov-2014
1483,671 of 2014,1521,Farmer,BHUDOKAKER,Rice,Cereals,Jaga Mahananda and others,Farmer,12-Jul-2011,F142 OS149 11 390,12 November 2014,11 November 2029,12-Jul-2011  to 12-Nov-2014
1484,672 of 2014,1522,Farmer,SUSHIL LAXMI,Chickpea,Legumes,Balasaheb Appasaheb Patil,Farmer,8-Oct-2008,F3 CA31  08 467,12 November 2014,11 November 2029,08-Oct-2008  to 12-Nov-2014
1485,673 of 2014,1523,Farmer,BADI KABERI,Rice,Cereals,"Arjuna Paraja and others, R/o Mahuli Block- Boipariguda, Dist- Koraput, State-Odisha",Farmer,8-Jun-2011,F68 OS74 11 274,12 November 2014,11 November 2029,08-Jun-2011  to 12-Nov-2014
1486,674 of 2014,1524,Farmer,SURYKANTI,Rice,Cereals,"Manoranjan Jena, At-Bandalo, Block-Bhandaripokhari, Dist-Bhadrak, State- Odisha",Farmer,23-Sep-2011,F775 OS 795 11 1112,12 November 2014,11 November 2029,23-Sep-2011  to 12-Nov-2014
1487,675 of 2014,1525,Farmer,MAKARAKAM,Rice,Cereals,"Sadananda Kanhar, At-Khajuripada, Block- Khajuripada, Dist- Kandhamal, State-Odisha",Farmer,26-Sep-2011,F809 OS 829 11 1146,12 November 2014,11 November 2029,26-Sep-2011  to 12-Nov-2014
1488,676 of 2014,1526,Farmer,TUMBA,Rice,Cereals,"Sh. Sagar Kahar, At- Mediakia, Block- Balliguda, Dist- Kandhamal, State-Odisha",Farmer,26-Sep-2011,F828 OS 848 11 1165,12 November 2014,11 November 2029,26-Sep-2011  to 12-Nov-2014
1489,677 of 2014,1527,Farmer,KALASU,Rice,Cereals,"Rudra Patel and others, R/o Dhubalpada, Block-Patnagarh, Dist- Balangir, State-Odisha",Farmer,22-Sep-2011,F738 OS758 11 1075,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1490,678 of 2014,1528,Farmer,MANEPURI,Rice,Cereals,"Laxmidar Badhek, R/o Thuntipipal, Block- Balisankara, Dist- Sundargarh, State-Odisha",Farmer,28-Sep-2011,F899 OS919 11 1236,12 November 2014,11 November 2029,28-Sep-2011  to 12-Nov-2014
1491,679 of 2014,1529,Farmer,PATHARA,Rice,Cereals,"Sumanta Pradhan and others R/o Balisahi, Block- Narasinghpur, Dist-Cuttack, State-Odisha",Farmer,7-Sep-2011,F241 OS257 11 571,12 November 2014,11 November 2029,07-Sep-2011  to 12-Nov-2014
1492,680 of 2014,1530,Farmer,SALEKATHI,Rice,Cereals,"Premraj Rana and Others,At-Talgachha, Block- Balangir, Dist- Balangir, State- Odisha",Farmer,22-Sep-2011,F715 OS735 11 1052,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1493,681 of 2014,1531,Farmer,HIRAKHANI,Rice,Cereals,"Chakradhar Nayak, At- Kolha, Block- Tihidi, Dist- Bhadrak, State-Odisha",Farmer,23-Sep-2011,F785 OS805 11 1122,12 November 2014,11 November 2029,23-Sep-2011  to 12-Nov-2014
1494,682 of 2014,1532,Farmer,BHUNDI-K,Rice,Cereals,"Nigamananda Swain and others, R/o Khandeipada, Block- Rajnagar, Dist-Kendrapada, State-Odisha",Farmer,22-Sep-2011,F749 OS769 11 1086,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1495,683 of 2014,1533,Farmer,JHALI,Rice,Cereals,"Bidyadhar Thanapati and Others, At-Kundapathar, Block- Balangir, Dist- Balangir, State-Odisha",Farmer,27-Sep-2011,F852 OS872 11 1189,12 November 2014,11 November 2029,27-Sep-2011  to 12-Nov-2014
1496,684 of 2014,1534,Farmer,LODOSORA,Rice,Cereals,"Phugu Kujur and others, R/o Kadobahal, Block- Kuarmunda, Dist- Sundargarh, State-Odisha",Farmer,28-Sep-2011,F891 OS911 11 1228,12 November 2014,11 November 2029,28-Sep-2011  to 12-Nov-2014
1497,685 of 2014,1535,Farmer,Kanhav,Rice,Cereals,"Budhu Ch. Merli, At-Baidipali, Block- Balangir, Dist- Balangir, State-Odisha",Farmer,27-Sep-2011,F866 OS886 11 1203,12 November 2014,11 November 2029,27-Sep-2011  to 12-Nov-2014
